title	link	description
Coins Markets	https://open-api-v4.coinglass.com/api/futures/coins-markets	Performance metrics for all available futures coins
Pairs Markets	https://open-api-v4.coinglass.com/api/futures/pairs-markets	Performance metrics for all available futures trading pairs
Price History (OHLC)	https://open-api-v4.coinglass.com/api/futures/price/history	Historical open, high, low, close prices for cryptocurrencies
Funding Rate History (OHLC)	https://open-api-v4.coinglass.com/api/futures/funding-rate/history	Funding rate data in candlestick format for futures trading pairs
Open Interest Aggregated History	https://open-api-v4.coinglass.com/api/futures/open-interest/aggregated-history	Aggregated open interest data across exchanges in OHLC format
Liquidation History	https://open-api-v4.coinglass.com/api/futures/liquidation/history	Historical long and short liquidations for a trading pair
Spot Supported Coins	https://open-api-v4.coinglass.com/api/spot/supported-coins	List of supported spot coins
Option Max Pain	https://open-api-v4.coinglass.com/api/option/max-pain	Max pain price for options
Exchange Assets	https://open-api-v4.coinglass.com/api/exchange/assets	Asset holdings data for exchange wallets
Bitcoin ETF List	https://open-api-v4.coinglass.com/api/etf/bitcoin/list	List of Bitcoin ETF status information
Coins Price Change	https://open-api-v4.coinglass.com/api/futures/coins-price-change	This endpoint provides percentage price changes and amplitude data for all supported coins across multiple timeframes.
History (OHLC)	https://open-api-v4.coinglass.com/api/futures/open-interest/history	This endpoint provides open interest data in OHLC (open, high, low, close) candlestick format for futures trading pairs.
Aggregated Stablecoin Margin History (OHLC)	https://open-api-v4.coinglass.com/api/futures/open-interest/aggregated-stablecoin-history	This endpoint provides aggregated stablecoin-margined open interest data in OHLC (open, high, low, close) candlestick format.
Aggregated Coin Margin History (OHLC)	https://open-api-v4.coinglass.com/api/futures/open-interest/aggregated-coin-margin-history	This endpoint provides aggregated coin-margined open interest data in OHLC (open, high, low, close) candlestick format.
Exchange List	https://open-api-v4.coinglass.com/api/futures/open-interest/exchange-list	This endpoint provides open interest data for a specific coin across multiple exchanges.
Exchange History Chart	https://open-api-v4.coinglass.com/api/futures/open-interest/exchange-history-chart	This endpoint retrieves historical open interest data for a specific cryptocurrency across exchanges, formatted for chart display.
OI Weight History (OHLC)	https://open-api-v4.coinglass.com/api/futures/funding-rate/oi-weight-history	This endpoint provides open interest-weighted funding rate data in OHLC (open, high, low, close) candlestick format for futures cryptocurrencies.
Vol Weight History (OHLC)	https://open-api-v4.coinglass.com/api/futures/funding-rate/vol-weight-history	This endpoint provides volume-weighted funding rate data in OHLC (open, high, low, close) candlestick format for futures cryptocurrencies.
Exchange List	https://open-api-v4.coinglass.com/api/futures/funding-rate/exchange-list	This endpoint provides funding rate data from exchanges.
Cumulative Exchange List	https://open-api-v4.coinglass.com/api/futures/funding-rate/accumulated-exchange-list	This endpoint provides cumulative funding rate data from exchanges.
Arbitrage	https://open-api-v4.coinglass.com/api/futures/funding-rate/arbitrage	This endpoint provides funding rate arbitrage data across exchanges for futures cryptocurrencies.
Global Account Ratio	https://open-api-v4.coinglass.com/api/futures/global-long-short-account-ratio/history	This endpoint provides the long/short account ratio history for trading pairs on a specific exchange.
